ts, average131195ts, fastestz3, slowestz0
4280, 0.032009, 0.043925, 0.017056
4288, 0.031950, 0.043843, 0.017024
4296, 0.031890, 0.043762, 0.016993
4304, 0.031831, 0.043680, 0.016961
4312, 0.031772, 0.043599, 0.016929
4320, 0.031713, 0.043750, 0.016898
4328, 0.031885, 0.043900, 0.016867
4336, 0.031827, 0.044050, 0.016836
4344, 0.031768, 0.043969, 0.016805
4352, 0.031710, 0.043888, 0.016774
4360, 0.031651, 0.043807, 0.016743
4368, 0.031593, 0.043956, 0.016712
4376, 0.031764, 0.043876, 0.016682
4384, 0.031706, 0.044252, 0.016651
4392, 0.031648, 0.044171, 0.016621
4400, 0.031591, 0.044091, 0.016591
4408, 0.031760, 0.044011, 0.016561
4416, 0.031703, 0.043931, 0.016531
4424, 0.031646, 0.043852, 0.016953
4432, 0.031588, 0.044224, 0.016922
4440, 0.031757, 0.044144, 0.016892
4448, 0.031700, 0.044514, 0.016862
4456, 0.031643, 0.044434, 0.016831
4464, 0.031586, 0.044355, 0.016801
4472, 0.031530, 0.044275, 0.016771
4480, 0.031473, 0.044196, 0.016741
4488, 0.031417, 0.044118, 0.016711
4496, 0.031361, 0.044039, 0.016681
4504, 0.031528, 0.044405, 0.016652
4512, 0.031472, 0.044326, 0.016622
4520, 0.031416, 0.044248, 0.016593
4528, 0.031360, 0.044170, 0.016564
4536, 0.031526, 0.044092, 0.016534
4544, 0.031470, 0.044454, 0.016505
4552, 0.031415, 0.044376, 0.016476
4560, 0.031579, 0.044298, 0.016447
4568, 0.031524, 0.044221, 0.016419
4576, 0.031469, 0.044143, 0.016390
4584, 0.031414, 0.044066, 0.016361
4592, 0.031577, 0.044425, 0.016551
4600, 0.031522, 0.044348, 0.016522
4608, 0.031467, 0.044271, 0.016493
4616, 0.031412, 0.044194, 0.016464
4624, 0.031358, 0.044118, 0.016436
4632, 0.031520, 0.044041, 0.016408
4640, 0.031466, 0.044397, 0.016379
4648, 0.031411, 0.044320, 0.016351
4656, 0.031357, 0.044674, 0.016323
4664, 0.031304, 0.044597, 0.016295
4672, 0.031464, 0.044521, 0.016481
4680, 0.031410, 0.044444, 0.016453
4688, 0.031357, 0.044369, 0.016425
4696, 0.031303, 0.044719, 0.016397
4704, 0.031250, 0.044643, 0.016369
4712, 0.031197, 0.044567, 0.016341
4720, 0.031356, 0.044492, 0.016314
4728, 0.031303, 0.044416, 0.016497
4736, 0.031250, 0.044341, 0.016470
4744, 0.031408, 0.044266, 0.016442
4752, 0.031355, 0.044192, 0.016414
4760, 0.031303, 0.044538, 0.016387
4768, 0.031250, 0.044463, 0.016359
4776, 0.031198, 0.044389, 0.016332
4784, 0.031145, 0.044314, 0.016304
4792, 0.031093, 0.044449, 0.016277
4800, 0.031250, 0.044375, 0.016250
4808, 0.031198, 0.044301, 0.016223
4816, 0.031146, 0.044435, 0.016196
4824, 0.031095, 0.044569, 0.016169
4832, 0.031043, 0.044495, 0.016142
4840, 0.031198, 0.044421, 0.016116
4848, 0.031147, 0.044348, 0.016295
